"","depth","lake","upper_age","lower_age","Gomphonema.cf.geisslerae","Encyonopsis.subminuta","Gomphonema.sp.1.LLAVIUCU.cf.netriviale","Sellaphora.pupula","Gomphonema.parvulum","Gomphonema.sp.2.LLAVIUCU.cf.variostriatum","Navicula.radiosa","Eunotia.cf.andinofrequens","Hannaea.arcus","Orthoseria.roseana","Staurosirella.pinnata","Encyonopsis.sp.1.LLAVIUCU","Fragilaria.capuccina.agg","Brachysira.microcephala.neoxilis","Nitzschia.amphibia","Pseudostaurosira.brevistriata","Ulnaria.cf.ulna.var.amphyrhynchus","Navicula.cryptotenella","Fragilaria.cf.capucina","Cymbella.cymbiformis.cystula","Ephitemia.adnata","Fragilaria.vaucheriae","Cocconeis.placentula.var.placentula","Denticula.kuetzingii","Staurosira.construens.var.venter","Diatoma.tenuis","Aulacoseira.cf.distans","Fragilaria.tenera","Aulacoseira.alpigena","Nupela.sp.1.LLAVIUCU","Tabellaria.flocculosa.str.IV","Achnanthidium.minutissimum","Discostella.stelligera","X"
"1",33,"llaviucu",104,110,0.43859649122807,3.21637426900585,1.75438596491228,1.75438596491228,0,0.730994152046784,0.146198830409357,0,3.65497076023392,0,0,7.01754385964912,0,9.94152046783626,0.146198830409357,0,3.80116959064327,0,6.57894736842105,6.57894736842105,0,0,0.730994152046784,1.75438596491228,0,0.730994152046784,0,0,1.46198830409357,0,1.46198830409357,32.1637426900585,2.33918128654971,4.67836257309941
"2",37,"llaviucu",115,121,1.05263157894737,4.96240601503759,1.20300751879699,2.25563909774436,0,0.300751879699248,0,0,2.85714285714286,0,0,3.45864661654135,0,5.11278195488722,0,0,4.06015037593985,0,6.76691729323308,5.26315789473684,0,0,1.20300751879699,0.75187969924812,0,0.601503759398496,0,0.451127819548872,0.150375939849624,0,5.86466165413534,36.6917293233083,4.96240601503759,5.11278195488722
"3",38,"llaviucu",121,123,2.65625,2.5,2.1875,2.34375,0.15625,0.15625,0.15625,0,1.5625,0,0,7.96875,0,6.40625,0,0,6.71875,0,5.15625,6.5625,0,0,0.3125,2.65625,0,0,0,0.625,0,0.15625,3.4375,32.65625,1.5625,5.46875
"4",41,"llaviucu",127,135,1.62337662337662,1.94805194805195,1.62337662337662,2.43506493506494,0.162337662337662,1.46103896103896,0.487012987012987,0,3.8961038961039,0,0,6.49350649350649,0,6.65584415584416,0,0,2.5974025974026,0.162337662337662,5.03246753246753,6.00649350649351,0,0,0.974025974025974,1.13636363636364,0,1.13636363636364,0,0.649350649350649,0.162337662337662,0.162337662337662,3.08441558441558,39.6103896103896,0,6.00649350649351
"5",43,"llaviucu",144,154,3.95738203957382,4.5662100456621,1.21765601217656,5.17503805175038,0,0,0.30441400304414,0.15220700152207,5.02283105022831,0,0,6.69710806697108,0,8.52359208523592,0,0,1.21765601217656,0,6.84931506849315,6.54490106544901,0,0,1.82648401826484,3.50076103500761,0,0,0,0.15220700152207,0.76103500761035,0,0,29.6803652968037,0,5.78386605783866
"6",47,"llaviucu",180,184,2.63157894736842,1.54798761609907,1.23839009287926,0.773993808049536,0,2.32198142414861,0.464396284829721,1.23839009287926,2.94117647058824,0.154798761609907,0.464396284829721,9.28792569659443,0,6.34674922600619,1.08359133126935,0,4.64396284829721,0,11.609907120743,2.78637770897833,0,0,0.773993808049536,3.09597523219814,0,1.23839009287926,0,0,0.619195046439629,0,0.773993808049536,29.1021671826625,0.619195046439629,6.19195046439629
"7",52,"llaviucu",251,262,1.43112701252236,4.47227191413238,1.25223613595707,0,0,2.68336314847943,0.178890876565295,0,3.04114490161002,0,0,6.61896243291592,0,5.72450805008945,0,0,2.86225402504472,0.536672629695885,9.48121645796064,5.36672629695885,0,0.178890876565295,1.25223613595707,1.61001788908766,0,0,0,0.178890876565295,0.536672629695885,0.536672629695885,0.178890876565295,39.1771019677996,0.536672629695885,7.69230769230769
"8",53,"llaviucu",262,288,3.85964912280702,2.98245614035088,2.45614035087719,0.175438596491228,0.175438596491228,4.73684210526316,0.175438596491228,0,4.03508771929825,0.175438596491228,0,8.7719298245614,0,5.78947368421053,0,0.175438596491228,4.03508771929825,0,11.0526315789474,6.31578947368421,0,0,0.701754385964912,3.33333333333333,0,0,0,0,0.701754385964912,0,0.526315789473684,24.3859649122807,0.175438596491228,7.71929824561404
"9",57,"llaviucu",385,424,2.15924426450742,4.18353576248313,2.69905533063428,0,0,3.10391363022942,0.539811066126856,0.134952766531714,4.04858299595142,0.134952766531714,1.34952766531714,10.5263157894737,0,9.7165991902834,0,0.134952766531714,1.48448043184885,0,7.82726045883941,4.99325236167341,0,0,0.134952766531714,1.34952766531714,0,0.944669365721997,0,0,0.944669365721997,0,3.23886639676113,27.2604588394062,1.48448043184885,6.20782726045884
"10",59,"llaviucu",445,456,0.430416068866571,3.012912482066,2.72596843615495,0.430416068866571,0,2.72596843615495,0.717360114777618,0,3.87374461979914,0,0.430416068866571,5.4519368723099,0,4.30416068866571,0.143472022955524,0.143472022955524,2.72596843615495,0,7.46054519368723,5.73888091822095,0,0.143472022955524,1.00430416068867,2.29555236728838,0,1.00430416068867,0,0.143472022955524,2.29555236728838,0.143472022955524,5.59540889526542,26.9727403156385,5.88235294117647,6.74318507890961
"11",60,"llaviucu",456,501,2.3943661971831,3.09859154929577,2.3943661971831,0,0.140845070422535,0.704225352112676,0.563380281690141,0,2.25352112676056,0.140845070422535,0,2.8169014084507,0,5.49295774647887,0,0,1.40845070422535,0,10.2816901408451,3.09859154929577,0,0,0.985915492957746,1.69014084507042,0,2.11267605633803,0,0,1.97183098591549,0,8.45070422535211,28.169014084507,8.73239436619718,6.76056338028169
"12",63,"llaviucu",540,587,2.09424083769634,4.01396160558464,0.523560209424084,0,0.174520069808028,1.04712041884817,0.698080279232112,0,5.23560209424084,0,0.174520069808028,5.23560209424084,0,5.58464223385689,0,0,0.87260034904014,0,16.0558464223386,4.3630017452007,0,0,0.349040139616056,0.698080279232112,0,0,0,0,0,0,0.523560209424084,33.5078534031414,0,8.7260034904014
"13",64,"llaviucu",587,632,0.334448160535117,3.17725752508361,1.50501672240803,0.167224080267559,0,1.50501672240803,0,0,3.17725752508361,0,0,6.35451505016722,0,5.85284280936455,0,0.501672240802676,4.68227424749164,0,9.53177257525084,3.84615384615385,0,0.836120401337793,0.836120401337793,3.01003344481605,0,0,0,0,1.00334448160535,0.501672240802676,0,35.2842809364548,0.836120401337793,8.52842809364548
"14",67,"llaviucu",724,787,0.470219435736677,3.44827586206897,1.56739811912226,0.156739811912226,0,1.09717868338558,0,0.313479623824451,2.19435736677116,0,0,4.38871473354232,0,3.60501567398119,0.156739811912226,0.626959247648903,2.50783699059561,0.156739811912226,7.68025078369906,4.38871473354232,0,0,2.97805642633229,1.56739811912226,0,0.783699059561128,0,0,4.23197492163009,0.156739811912226,3.76175548589342,32.9153605015674,1.41065830721003,8.30721003134796
"15",68,"llaviucu",787,850,0.954198473282443,2.09923664122137,2.67175572519084,0.190839694656489,0.190839694656489,1.7175572519084,0.954198473282443,0,4.00763358778626,0,0,6.48854961832061,14.1221374045802,10.6870229007634,0.190839694656489,0.190839694656489,3.05343511450382,0,0,2.86259541984733,0,0.190839694656489,0.572519083969466,1.14503816793893,0,0.763358778625954,0,0,0,0,0.572519083969466,27.2900763358779,0.572519083969466,10.3053435114504
"16",70,"llaviucu",914,970,5.11073253833049,2.55536626916525,5.11073253833049,0.170357751277683,0,2.55536626916525,1.0221465076661,0,2.89608177172061,0,0,2.72572402044293,2.21465076660988,6.98466780238501,0,0,4.42930153321976,0,7.49574105621806,4.42930153321976,0,0,1.36286201022147,1.19250425894378,0,1.87393526405451,0,0.340715502555366,0,0,5.45144804088586,19.7614991482112,1.36286201022147,9.36967632027257
"17",73,"llaviucu",1038,1097,1.60771704180064,3.53697749196141,3.21543408360129,0.321543408360129,0,0.160771704180064,0.160771704180064,0.160771704180064,1.60771704180064,0.482315112540193,0.803858520900322,9.32475884244373,0,9.32475884244373,0.643086816720257,0.321543408360129,3.21543408360129,1.12540192926045,7.87781350482315,2.73311897106109,0,0,1.44694533762058,1.28617363344051,1.28617363344051,0.482315112540193,0,0.321543408360129,1.12540192926045,0,3.37620578778135,25.8842443729904,1.76848874598071,9.0032154340836
"18",75,"llaviucu",1155,1206,2.35294117647059,4.57516339869281,1.56862745098039,0.915032679738562,0,1.30718954248366,0,0.130718954248366,0.915032679738562,0.130718954248366,0.392156862745098,8.62745098039216,0,8.36601307189542,0.130718954248366,0,2.48366013071895,0,10.0653594771242,8.36601307189542,0.392156862745098,0,3.26797385620915,1.96078431372549,8.10457516339869,0,0,1.04575163398693,0,0,0.65359477124183,17.6470588235294,0.130718954248366,7.45098039215686
"19",78,"llaviucu",1255,1308,0.803212851405622,3.21285140562249,4.68540829986613,0.267737617135207,0,1.60642570281124,1.07095046854083,0.401606425702811,1.74029451137885,0.133868808567604,0,8.03212851405623,0,8.83534136546185,0.133868808567604,0,2.67737617135207,0,6.02409638554217,9.10307898259705,0.669344042838019,0,1.74029451137885,7.36278447121821,0,0,0.133868808567604,2.14190093708166,1.74029451137885,0,0.535475234270415,19.8125836680054,0.133868808567604,7.76439089692102
"20",83,"llaviucu",1430,1458,1.99468085106383,4.25531914893617,1.86170212765957,1.1968085106383,0,1.99468085106383,0.664893617021277,0.132978723404255,0.930851063829787,0,0,6.64893617021277,0,6.64893617021277,0,0,3.05851063829787,0.265957446808511,2.65957446808511,4.12234042553191,0,0,1.86170212765957,5.98404255319149,0,0.132978723404255,0,0,1.99468085106383,9.97340425531915,1.32978723404255,18.6170212765957,1.59574468085106,7.97872340425532
"21",85,"llaviucu",1505,1550,1.93298969072165,3.22164948453608,1.67525773195876,0,0.128865979381443,0.38659793814433,0.902061855670103,0.128865979381443,1.54639175257732,0.128865979381443,0,6.18556701030928,0,6.57216494845361,0,0.128865979381443,2.57731958762887,0,5.92783505154639,7.08762886597938,0,0,1.80412371134021,0.38659793814433,0.128865979381443,2.44845360824742,0,0,0.38659793814433,8.37628865979381,7.86082474226804,22.0360824742268,3.73711340206186,7.86082474226804
"22",88,"llaviucu",1636,1655,0.158730158730159,1.26984126984127,1.58730158730159,0.158730158730159,0,1.11111111111111,1.42857142857143,0.158730158730159,0.158730158730159,0,0,9.84126984126984,0,5.07936507936508,0,0,2.53968253968254,0,5.87301587301587,5.3968253968254,0.476190476190476,0,2.53968253968254,2.6984126984127,0,0,0,0.476190476190476,0.634920634920635,14.9206349206349,0,27.4603174603175,0,9.84126984126984
"23",91,"llaviucu",1703,1742,0.420168067226891,2.10084033613445,4.76190476190476,0.420168067226891,0,1.5406162464986,2.80112044817927,0,0.140056022408964,0.140056022408964,0.140056022408964,4.20168067226891,0,6.30252100840336,0,0,3.36134453781513,0,2.10084033613445,7.00280112044818,1.96078431372549,0,2.10084033613445,6.02240896358543,0.560224089635854,0.140056022408964,0,0,1.12044817927171,14.2857142857143,0.560224089635854,8.54341736694678,0,8.96358543417367
