"","depth","upper_age","lower_age","Monolete.psilate","Polypodium","Ophioglossum","Allantodia","Cyathea","Aspleniaceae","Asplenium","Cyclosorus","Selaginella","Trilete","Hymenophyllaceae","Pteris","Adiantum","Spore.47","Blechnum","Lophosoria","Isoetes","Acalypha","Alchornea","Amaranthaceae","Ambrosia","Caryophyllaceae","Celtis","Clethra","Melast.Combret","Meliaceae.Bruniaceae","Morac.Urtica","Myrica.Morella","Myrsine","Plantago","Poaceae","Podocarpus","Polylepis","Solanaceae","Symplocos","Thalictrum","Weinmannia","Valeriana","Vallea","Apiaceae","Eryngium..Apiaceae.","Psyllocarpus.Micrandra.","Licania","Virola","Aechmea","Rubiaceae..cf.Uncaria.","Rubiaceae..cf.Hoffmannia.","Aralia","Juglandaceae","Tricolp..8..Poma.","Pagamea..Rub.","Malanea..Rub.","Dodonaea..Sapind..","Brassicaceae","cf.Rubiaceae","Lamiaceae","cf.Rhamnaceae","Fagara..Rubiaceae.","Alseis","cf.Sapindaceae","Carapa..Meliaceae.","Piper","Uncaria.2","Myrtaceae"
"21",50,1445,1483,8.14814814814815,1.48148148148148,0.37037037037037,1.11111111111111,0.740740740740741,1.48148148148148,0.740740740740741,1.48148148148148,0,0.740740740740741,0.37037037037037,0.37037037037037,0,0,0,0.37037037037037,3.7037037037037,2.59259259259259,0,0,0,0,0,1.48148148148148,8.51851851851852,0.740740740740741,4.44444444444444,2.22222222222222,0.740740740740741,0.37037037037037,38.5185185185185,1.85185185185185,2.22222222222222,0.740740740740741,0.740740740740741,0.740740740740741,2.22222222222222,0.740740740740741,1.48148148148148,0,0.740740740740741,0.37037037037037,0.37037037037037,0.37037037037037,0.740740740740741,0.37037037037037,0,0,1.48148148148148,0,0,0,0,0.740740740740741,0,0,0,0,0.740740740740741,0,0,0,0,0
"22",52.5,1483,1521,5.72519083969466,1.52671755725191,0.763358778625954,0.763358778625954,1.52671755725191,1.14503816793893,0.381679389312977,0.763358778625954,0.381679389312977,1.14503816793893,0,0,0,0,0,0,0,3.05343511450382,0.381679389312977,0.381679389312977,1.90839694656489,0.381679389312977,0,2.67175572519084,5.34351145038168,0,4.19847328244275,0.381679389312977,2.67175572519084,0,45.8015267175573,2.29007633587786,3.05343511450382,0.763358778625954,1.14503816793893,1.14503816793893,1.90839694656489,0.381679389312977,1.14503816793893,0.763358778625954,0,1.52671755725191,0,0,0,0.381679389312977,0,0.381679389312977,0,0.381679389312977,0,0,0,0,0.763358778625954,0,0,0,0,0,0,0,0,0
"23",55,1521,1561,8.24742268041237,2.06185567010309,1.3745704467354,0.687285223367698,3.09278350515464,1.71821305841924,0.343642611683849,1.03092783505155,0.343642611683849,1.3745704467354,0.343642611683849,0,0,0.343642611683849,0,0.343642611683849,1.03092783505155,1.3745704467354,1.3745704467354,0,0,0.687285223367698,0,1.03092783505155,4.46735395189003,2.06185567010309,5.49828178694158,2.74914089347079,1.3745704467354,1.3745704467354,32.6460481099656,3.09278350515464,2.40549828178694,0,1.71821305841924,2.06185567010309,1.3745704467354,0.687285223367698,1.71821305841924,0.687285223367698,0.343642611683849,0,0,0,1.03092783505155,0.343642611683849,0.687285223367698,0,0,0,1.03092783505155,0,0,1.03092783505155,0,0.343642611683849,0,0,0,1.3745704467354,0,0.687285223367698,0,0
"24",57.5,1561,1601,9.47368421052632,1.40350877192982,1.05263157894737,0.350877192982456,1.75438596491228,1.40350877192982,0.350877192982456,0.701754385964912,0,0.701754385964912,0.350877192982456,0,0,0,1.05263157894737,0.701754385964912,2.45614035087719,1.40350877192982,0.701754385964912,0.701754385964912,0.350877192982456,0,0,2.45614035087719,6.31578947368421,0,7.01754385964912,0.350877192982456,2.45614035087719,0.350877192982456,38.2456140350877,2.45614035087719,2.10526315789474,1.05263157894737,1.75438596491228,2.10526315789474,0.350877192982456,1.05263157894737,0.701754385964912,0.350877192982456,0,0,0,0,0,0,0,0.350877192982456,0.350877192982456,0,0.350877192982456,0,0,0,1.05263157894737,0.701754385964912,0,0.701754385964912,0,0,0.350877192982456,0,0,0
"25",60,1601,1640,7.8740157480315,2.36220472440945,1.96850393700787,1.5748031496063,1.5748031496063,1.18110236220472,0,1.5748031496063,0.393700787401575,0.78740157480315,0.78740157480315,0,0,0,0,0.393700787401575,2.36220472440945,3.1496062992126,1.5748031496063,0,0,0.78740157480315,0,2.36220472440945,5.11811023622047,0.78740157480315,4.7244094488189,0,1.18110236220472,1.5748031496063,34.251968503937,3.1496062992126,1.5748031496063,0,1.5748031496063,1.96850393700787,1.18110236220472,2.36220472440945,0.78740157480315,0,1.18110236220472,0,0,0,0,0.393700787401575,0.393700787401575,0,0,0,0,0,0,1.5748031496063,0,0.393700787401575,0,0,1.18110236220472,0,0,0.393700787401575,0,0.393700787401575
"26",62.5,1640,1680,8.33333333333333,1.31578947368421,2.19298245614035,0.43859649122807,1.75438596491228,0.87719298245614,0.43859649122807,0,1.31578947368421,0,0,0,0,0,0.43859649122807,0,2.19298245614035,2.19298245614035,1.75438596491228,0.43859649122807,0,0,0.87719298245614,3.07017543859649,7.89473684210526,0,7.45614035087719,2.63157894736842,2.63157894736842,0,37.280701754386,2.63157894736842,0.87719298245614,0,3.94736842105263,0.87719298245614,1.31578947368421,0,2.63157894736842,0,0,0,0,0.87719298245614,0,0,0,0,0,0,0.87719298245614,0,0,0,0,0.43859649122807,0,0,0,0,0,0,0,0
"27",65,1680,1719,10.8,2,0.4,0,1.2,1.6,0,0.4,0,0,0,0,0,0,0.4,0,2.4,2.8,1.2,0.4,0,0,0,0.8,8.4,0,4,0.4,1.6,0,40,1.6,4.8,0.4,2,2,1.6,0.8,0,0.4,0,1.6,0,0,0,0,0,0,0,1.2,2.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0
"28",67.5,1719,1758,11.0671936758893,0.790513833992095,0.395256916996047,0.395256916996047,2.37154150197628,1.18577075098814,0,0,0.395256916996047,0.395256916996047,0.395256916996047,0,0,0.395256916996047,0.395256916996047,0,2.76679841897233,1.58102766798419,0.790513833992095,0,0,0,0,1.97628458498024,7.5098814229249,0.790513833992095,6.32411067193676,2.37154150197628,0.790513833992095,0.790513833992095,34.7826086956522,4.74308300395257,0,1.58102766798419,0.790513833992095,0.395256916996047,1.58102766798419,0.790513833992095,0.790513833992095,0,0,0,0,0,0.790513833992095,1.18577075098814,0,0.395256916996047,0.790513833992095,0,0,0,0,0.395256916996047,0.395256916996047,0.395256916996047,0,0,0,0,0,0.395256916996047,0.790513833992095,1.18577075098814
"29",70,1758,1797,9.52380952380952,1.46520146520147,0.732600732600733,1.0989010989011,1.0989010989011,0.732600732600733,0.366300366300366,0.366300366300366,0,1.0989010989011,1.83150183150183,0,0,0,0.732600732600733,0,4.3956043956044,3.2967032967033,0.732600732600733,0,0,0.732600732600733,0,2.56410256410256,6.59340659340659,0,8.42490842490843,0,0.732600732600733,0.366300366300366,35.5311355311355,3.2967032967033,2.93040293040293,1.0989010989011,1.83150183150183,0.366300366300366,1.46520146520147,1.0989010989011,0.732600732600733,0.366300366300366,0,0.732600732600733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732600732600733,0,0.366300366300366,0,0,0.366300366300366,0,0,0
"30",72.5,1797,1836,8.60655737704918,0.819672131147541,0,0.409836065573771,1.63934426229508,0.819672131147541,1.22950819672131,0.409836065573771,0,0,0.409836065573771,0.409836065573771,0.409836065573771,0,0,0.409836065573771,3.68852459016393,2.86885245901639,0.819672131147541,0.409836065573771,0,0.409836065573771,0,0.409836065573771,4.50819672131148,0,3.68852459016393,0.409836065573771,2.04918032786885,0.409836065573771,44.672131147541,3.68852459016393,6.14754098360656,0,0.819672131147541,1.63934426229508,0.819672131147541,0.409836065573771,0.819672131147541,0,0,0.409836065573771,0,0,0,0,0,0,0.409836065573771,0.409836065573771,1.63934426229508,0,0,0.409836065573771,0,0,0,1.63934426229508,0,0,0,0,0,0
"31",75,1836,1875,15.1624548736462,1.44404332129964,1.08303249097473,0,2.16606498194946,1.44404332129964,0.36101083032491,0.72202166064982,0.36101083032491,0.72202166064982,0.72202166064982,0,0,0.36101083032491,0.36101083032491,0.72202166064982,3.6101083032491,2.16606498194946,0.72202166064982,0,0,0.72202166064982,0,0.72202166064982,7.5812274368231,0.72202166064982,5.41516245487365,2.16606498194946,1.44404332129964,0.36101083032491,32.4909747292419,2.88808664259928,2.16606498194946,0,0.36101083032491,0.36101083032491,1.44404332129964,0.36101083032491,0.72202166064982,0.36101083032491,0.36101083032491,0,1.08303249097473,0.36101083032491,0.36101083032491,0.72202166064982,0,0.36101083032491,1.08303249097473,0,0,0.36101083032491,0,0.36101083032491,0,0.36101083032491,0,0,0,0.36101083032491,0,0.36101083032491,0,0
"32",77.5,1875,1914,6.38297872340426,1.27659574468085,0.425531914893617,0.851063829787234,1.70212765957447,0.851063829787234,0,0.851063829787234,0,0,0,0,0,0,0,0,1.70212765957447,1.70212765957447,2.12765957446809,0.851063829787234,0,0,0.851063829787234,1.27659574468085,3.82978723404255,0,2.12765957446809,0.425531914893617,3.40425531914894,0,46.3829787234043,6.38297872340426,3.40425531914894,0.851063829787234,2.97872340425532,0.425531914893617,1.27659574468085,0,1.70212765957447,0.425531914893617,0,0,0,0,0,0,0,0.851063829787234,0.851063829787234,0,2.12765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",80,1914,1953,8.86075949367089,1.26582278481013,0,1.68776371308017,1.68776371308017,0.843881856540084,0,0.421940928270042,0.421940928270042,0.421940928270042,0,0,0,0,0,0.421940928270042,5.90717299578059,2.10970464135021,0.843881856540084,0,0,0.421940928270042,0,2.9535864978903,2.9535864978903,0,9.70464135021097,0.421940928270042,3.37552742616034,0,37.5527426160338,6.32911392405063,2.10970464135021,0.843881856540084,1.26582278481013,0.843881856540084,0.843881856540084,0.421940928270042,0,0.421940928270042,0,0.843881856540084,0.421940928270042,0,0,0.421940928270042,0,0,0.421940928270042,0,0,0,0,0,0,0,0,0.421940928270042,0,0,0,0,0,0
"34",82.5,1953,1992,12.5,2.34375,0.390625,1.953125,2.34375,1.5625,0.390625,0.390625,0.78125,0.78125,0,0,0.390625,0,0,0,3.125,3.90625,0.390625,0,1.171875,1.5625,0,1.5625,4.6875,2.34375,3.90625,0.78125,1.5625,0,36.328125,2.34375,1.5625,0,2.34375,0.78125,1.171875,0.78125,1.5625,0,0,0,0.390625,0,0.390625,0,0,0.390625,0,0,0,0.390625,0,0.78125,0.78125,0,0,0,0,0.390625,0,0,0,0.390625
"35",85,1992,2030,10,0.8,0,1.6,1.2,1.6,0.4,1.2,2,0,0,0,0,0,1.2,0,4.4,2.8,0.4,0,0,0,0,0.4,2.4,0,6.8,0.4,2,0,45.2,4.8,2,1.6,2,0,1.2,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0.4,0,0,0,0,0,0
