"","depth","Acalypha","Alchornea","Allantodia","Aspleniaceae","Asplenium","Brassicaceae","Clethra","Cyathea","Cyclosorus","Isoetes","Melast.Combret","Monolete.psilate","Morac.Urtica","Myrica.Morella","Myrsine","Ophioglossum","Plantago","Poaceae","Podocarpus","Polylepis","Polypodium","Selaginella","Symplocos","Thalictrum","Trilete","Valeriana","Vallea","Weinmannia","upper_age","lower_age","Alnus","Asteraceae.1","Asteraceae..lig.","Begoniaceae","Cecropia","Charcoal.cc.","Cyperaceae","Hedyosmum","Rumex","Sporormiella","Zea.mays"
"1",0,0.383141762452107,0.383141762452107,0.766283524904214,0.383141762452107,0.383141762452107,1.14942528735632,0.383141762452107,2.29885057471264,0.383141762452107,6.13026819923372,6.89655172413793,9.19540229885057,5.74712643678161,3.06513409961686,2.29885057471264,0.766283524904214,0,46.360153256705,5.3639846743295,3.06513409961686,0.766283524904214,0,2.29885057471264,0,0.766283524904214,0.766283524904214,0,0,-59,-53,34.1117816845972,15.7438992390449,0,0,0,0.288638152715823,13.1199160325374,26.2398320650748,0,10.4959328260299,0
"2",2.5,0.383141762452107,0.383141762452107,0.766283524904214,0.383141762452107,0.383141762452107,0.766283524904214,0.766283524904214,0.766283524904214,0.383141762452107,4.98084291187739,3.44827586206897,6.89655172413793,5.74712643678161,1.14942528735632,3.83141762452107,1.53256704980843,0.383141762452107,55.5555555555556,1.91570881226054,2.68199233716475,1.14942528735632,0.383141762452107,1.91570881226054,0.766283524904214,0.766283524904214,0.766283524904214,1.14942528735632,0,-53,-46,29.5774647887324,15.4929577464789,1.40845070422535,0,0,0,16.9014084507042,29.5774647887324,0,7.04225352112676,0
"3",5,0.36231884057971,0.72463768115942,0.72463768115942,0.72463768115942,0,0.36231884057971,2.17391304347826,2.17391304347826,0.36231884057971,8.33333333333333,8.69565217391304,7.97101449275362,14.1304347826087,1.08695652173913,0,0.36231884057971,0.36231884057971,40.2173913043478,1.44927536231884,2.17391304347826,1.81159420289855,0.72463768115942,2.17391304347826,0,0,0.36231884057971,1.08695652173913,1.44927536231884,-46,212,29.8701298701299,11.6883116883117,0,0,1.2987012987013,0,12.987012987013,36.3636363636364,0,7.79220779220779,0
"4",7.5,0.377358490566038,1.88679245283019,0,0.377358490566038,1.13207547169811,0,0.377358490566038,0.754716981132076,0.754716981132076,6.79245283018868,7.92452830188679,13.2075471698113,5.66037735849057,0,2.64150943396226,0.377358490566038,0.377358490566038,43.3962264150943,1.13207547169811,3.39622641509434,1.50943396226415,0,4.15094339622642,0,0,1.50943396226415,1.50943396226415,0.754716981132076,212,469,39.5061728395062,19.7530864197531,1.23456790123457,0,1.23456790123457,0,9.87654320987654,22.2222222222222,0,6.17283950617284,0
"5",10,2.77777777777778,0.925925925925926,0,1.38888888888889,0.462962962962963,0.462962962962963,1.85185185185185,0.925925925925926,0.925925925925926,9.72222222222222,5.55555555555556,8.33333333333333,7.40740740740741,1.85185185185185,0.925925925925926,0.462962962962963,1.85185185185185,40.2777777777778,0.925925925925926,1.85185185185185,1.85185185185185,0.462962962962963,4.62962962962963,0,0.462962962962963,0.925925925925926,0.925925925925926,1.85185185185185,469,535,59.6899224806201,7.75193798449612,0,0,1.55038759689922,0,13.953488372093,11.6279069767442,0,5.42635658914729,0
"6",12.5,0.411522633744856,1.23456790123457,2.05761316872428,1.23456790123457,1.23456790123457,0,0.823045267489712,2.05761316872428,2.88065843621399,2.46913580246914,3.7037037037037,12.3456790123457,4.11522633744856,0,2.46913580246914,0.411522633744856,0.411522633744856,51.0288065843621,2.88065843621399,0.823045267489712,0.823045267489712,0.411522633744856,3.7037037037037,0,1.23456790123457,0,0.823045267489712,0.411522633744856,535,600,61.4973262032086,6.23885918003565,0.89126559714795,0,0.89126559714795,1.06951871657754,6.23885918003565,15.1515151515152,0,8.02139037433155,0
"7",15,1.16279069767442,0.387596899224806,1.16279069767442,1.16279069767442,0,0,0.387596899224806,0.775193798449612,0.387596899224806,5.03875968992248,2.71317829457364,12.4031007751938,6.58914728682171,0.387596899224806,0.387596899224806,0,0,56.2015503875969,1.55038759689922,2.32558139534884,0.387596899224806,0.387596899224806,2.71317829457364,0.775193798449612,0.775193798449612,1.16279069767442,0.387596899224806,0.387596899224806,600,670,55.7645317300186,9.12510519218485,2.02780115381886,0,3.04170173072828,0.63774346287603,9.12510519218485,10.1390057690943,0,10.1390057690943,0
"8",17.5,2.06185567010309,1.3745704467354,0.687285223367698,1.3745704467354,0.343642611683849,0,0.687285223367698,2.74914089347079,1.3745704467354,2.74914089347079,2.74914089347079,10.6529209621993,10.3092783505155,2.06185567010309,1.03092783505155,0.687285223367698,0,47.766323024055,1.3745704467354,1.3745704467354,2.06185567010309,0.687285223367698,2.06185567010309,1.03092783505155,1.03092783505155,0.343642611683849,0.343642611683849,1.03092783505155,670,740,48.185030517186,14.8261632360572,0,0,1.23551360300477,1.15891175961847,6.17756801502385,13.5906496330525,0,14.8261632360572,0
"9",20,1.92307692307692,0,3.84615384615385,1.28205128205128,0.32051282051282,0,1.28205128205128,2.56410256410256,2.56410256410256,1.6025641025641,2.24358974358974,13.4615384615385,15.3846153846154,0,0.32051282051282,0.641025641025641,0.641025641025641,41.3461538461538,0.961538461538462,0.641025641025641,1.92307692307692,0.641025641025641,2.24358974358974,1.28205128205128,0.961538461538462,0.641025641025641,0.641025641025641,0.641025641025641,740,810,30.5197648651159,14.5964092833163,0,0,1.3269462984833,1.80597391223577,19.9041944772495,11.9425166863497,0,19.9041944772495,0
"10",22.5,0.803212851405622,0.803212851405622,0.803212851405622,0.401606425702811,1.20481927710843,0,4.41767068273092,0.803212851405622,0,4.81927710843374,4.01606425702811,6.82730923694779,5.62248995983936,2.81124497991968,2.00803212851406,0.401606425702811,1.20481927710843,50.2008032128514,2.00803212851406,3.6144578313253,1.20481927710843,0.401606425702811,3.6144578313253,0.803212851405622,0,0.401606425702811,0,0.803212851405622,810,881,51.3632218367069,12.5787482049078,1.04822901707565,0,1.04822901707565,0.418243377813185,8.3858321366052,7.33760311952955,0,16.7716642732104,1.04822901707565
"11",25,2.22222222222222,0.740740740740741,0.37037037037037,1.48148148148148,0.740740740740741,0.37037037037037,0.740740740740741,2.96296296296296,0.740740740740741,5.92592592592593,2.96296296296296,10.3703703703704,8.51851851851852,1.48148148148148,0.740740740740741,0.740740740740741,0,48.1481481481481,1.48148148148148,2.22222222222222,1.85185185185185,0.37037037037037,2.22222222222222,1.11111111111111,0.740740740740741,0,0,0.740740740740741,881,945,50.746241606481,14.4989261732803,0,0,0.906182885830018,0.319882558697996,16.3112919449403,2.71854865749006,0,14.4989261732803,0
"12",27.5,2.39043824701195,1.19521912350598,0.796812749003984,0.796812749003984,0.398406374501992,0,0.398406374501992,1.19521912350598,1.59362549800797,3.98406374501992,3.18725099601594,7.17131474103586,6.37450199203187,0.796812749003984,2.78884462151394,0.398406374501992,1.19521912350598,51.394422310757,0.796812749003984,1.99203187250996,1.59362549800797,0,4.38247011952191,1.99203187250996,1.19521912350598,1.19521912350598,0.398406374501992,0.398406374501992,945,1010,54.4039437307782,14.4336993571452,0,0,0,0.0743890659175947,9.99256109340824,4.441138263737,0,16.6542684890137,0
"13",30,3.33333333333333,1.11111111111111,0.740740740740741,1.48148148148148,0,0,0,1.11111111111111,0,7.03703703703704,5.55555555555556,7.03703703703704,7.03703703703704,1.11111111111111,0.740740740740741,0.37037037037037,0.740740740740741,47.4074074074074,1.11111111111111,2.59259259259259,1.11111111111111,2.59259259259259,1.11111111111111,2.22222222222222,1.11111111111111,0.37037037037037,2.22222222222222,0.740740740740741,1010,1050,44.649335283021,8.92986705660419,0,0,1.11623338207552,0.655228995278333,23.440901023586,5.58116691037762,0,15.6272673490573,0
"14",32.5,2.4390243902439,0.813008130081301,0.813008130081301,1.21951219512195,0,0.40650406504065,0.813008130081301,2.4390243902439,0,5.28455284552846,2.84552845528455,5.69105691056911,4.8780487804878,2.4390243902439,1.6260162601626,0.40650406504065,0,53.2520325203252,0.813008130081301,2.84552845528455,1.6260162601626,0.813008130081301,3.2520325203252,2.4390243902439,0.40650406504065,0.813008130081301,0.813008130081301,0.813008130081301,1050,1142,66.1278471711977,8.3971869423743,0,1.04964836779679,0,1.33305342710192,6.29789020678073,2.09929673559358,0,14.695077149155,0
"15",35,6.06060606060606,1.34680134680135,1.34680134680135,0.673400673400673,1.68350168350168,0.336700336700337,0.336700336700337,1.01010101010101,1.34680134680135,6.06060606060606,5.38720538720539,9.09090909090909,3.7037037037037,1.34680134680135,0.673400673400673,0.336700336700337,0,48.1481481481481,1.01010101010101,3.03030303030303,1.01010101010101,0.336700336700337,1.34680134680135,2.35690235690236,0.336700336700337,0.336700336700337,1.34680134680135,0,1142,1205,39.7260273972603,17.8082191780822,0,0,0,0,19.1780821917808,6.84931506849315,0,16.4383561643836,0
"16",37.5,3.90070921985816,1.41843971631206,0.709219858156028,0.709219858156028,0.354609929078014,0,1.41843971631206,2.12765957446809,0.354609929078014,4.60992907801418,3.54609929078014,13.8297872340426,4.25531914893617,0.354609929078014,1.06382978723404,1.41843971631206,1.06382978723404,45.7446808510638,1.41843971631206,2.4822695035461,1.06382978723404,0.354609929078014,3.19148936170213,1.41843971631206,0.709219858156028,1.06382978723404,1.06382978723404,0.354609929078014,1205,1267,43.9084362742228,17.5633745096891,0,0,0,0.474211111761606,7.8059442265285,13.6604023964249,0,16.5876314813731,0
