Depthmm,DepthCm,age_calBP,Ti,runningmeanTi,Ca,Carunningmean,Si,Sirunningmean,MnFe,MnFerunningmean,IncCoh,IncCohrunningmean,TiLog
1218,121.8,2606,2.365911138,3.25296401,4.94157711,6.0465526,3.855787383,3.696469766,586.7267053,25.68660887,5539.234883,5753.231547,0.373998429
1219,121.9,2608,2.786598406,3.256267483,5.7514095,6.0490834,3.985483766,3.68507569,326.5057662,19.92953342,5784.367713,5757.877313,0.445074384
1220,122,2610,2.230890985,3.25638141,5.648890163,6.04108261,3.707765744,3.674247056,192.9887802,16.77388026,5882.767802,5758.831548,0.348478349
1221,122.1,2611,2.155771476,3.262532005,5.080578908,6.04456432,2.563453188,3.661383197,150.6613282,14.94677422,5739.705672,5758.65119,0.333602721
1222,122.2,2613,2.919133177,3.268445086,6.014000124,6.050159923,3.807565013,3.658309222,167.0577379,13.54819588,5867.271043,5760.913794,0.465253909
1223,122.3,2615,3.244758078,3.267674205,6.621197285,6.050099433,5.165951987,3.649314963,37.72600834,11.97670494,5912.780585,5761.118101,0.511182322
1224,122.4,2616,2.909993083,3.267005348,6.53168733,6.045903523,2.560793913,3.619628348,65.15327681,11.6992465,5880.119714,5760.80698,0.463891957
1225,122.5,2618,3.388757141,3.266807726,6.572032985,6.039818134,3.671714994,3.622225877,48.23342596,11.1427123,5934.762375,5760.806915,0.530040446
1226,122.6,2619,3.419752143,3.262286994,6.929235391,6.041832057,3.123971831,3.625255792,18.4357304,10.74955278,5823.72769,5759.741888,0.53399463
1227,122.7,2621,3.722706839,3.255743778,6.64601841,6.034515827,2.90993257,3.627671141,12.57434891,10.63984921,5916.949581,5758.969073,0.570858837
1228,122.8,2623,3.137785908,3.254435916,6.451339906,6.050009807,3.710659684,3.651969712,13.09768224,10.59996951,5846.730796,5756.015298,0.496623308
1229,122.9,2624,2.823712695,3.271614546,5.670144918,6.098326895,4.121971406,3.669994249,9.99792191,10.5630904,5846.797208,5754.25286,0.450820506
1230,123,2626,2.546500257,3.290014555,5.402840849,6.138100642,2.291527481,3.649425665,10.16703708,10.5567245,5757.452079,5752.612135,0.405943724
1231,123.1,2628,2.697789346,3.319681269,5.263754894,6.208707315,3.035013014,3.683996979,9.209148045,10.5387155,5752.391832,5750.521777,0.431008035
1232,123.2,2629,2.977335077,3.351528199,5.647001513,6.313730562,3.55741866,3.722960388,10.26217836,10.5297777,5757.588198,5748.807774,0.473827714
1233,123.3,2631,2.647502596,3.415279381,5.150710026,6.495241138,3.795590214,3.764116249,8.534531162,10.52608607,5867.30667,5742.701391,0.422836395
1234,123.4,2632,2.831895618,3.503028403,5.447178298,6.729501688,3.854436106,3.791324502,8.510550822,10.54369871,5728.588427,5731.400828,0.452077241
1235,123.5,2634,3.422539822,3.580418502,6.153958076,6.950690853,3.240665725,3.840055036,9.656381739,10.55410892,5842.637165,5716.792889,0.53434851
1236,123.6,2636,3.424171816,3.614793927,6.297909702,7.064252636,4.18735015,3.848894478,13.57719928,10.54792137,5879.053658,5703.045231,0.534555548
