"","Age","agropastoralism","charcoal","diatoms","MnFe","pollen","Ti","elapsedTime"
"1",-63,2.41942830301705,0.576574155627006,12.2314654323854,4.87040533760674,1.34263103551952,6.03899874833918,4
"2",-59,2.39573019202192,0.5775138770668,11.8868837475067,4.87498202266525,1.34174997119693,6.09310338838793,4
"3",-55,2.37226445788172,0.5784551323761,11.5518522291702,4.87956300840192,1.34086949479166,6.14769276311171,4
"4",-51,2.34903011065349,0.579397935674298,11.2258690346498,4.88414845224785,1.33998965556918,6.20276912815446,5
"5",-46,2.32031232817415,0.580578649562501,10.8302690926648,4.88988894831545,1.33889087913203,6.27227225046633,4
"6",-42,2.29759873649143,0.581525021286118,10.5226007735998,4.89449270155587,1.33801280820919,6.3283418176853,4
"7",-38,2.27511777929652,0.582473026912538,10.2221676373682,4.89911222164929,1.33713572376637,6.38474337049742,3
"8",-35,2.25841030341958,0.583185122717614,10.00127752414,4.90259103103442,1.33647864071273,6.42720191127185,4
"9",-31,2.23633867865973,0.584136065167451,9.71228980324856,4.90725391270597,1.3356036139413,6.48392891472818,3
"10",-28,2.21993913601188,0.58485040081039,9.49946801787565,4.91077330031341,1.33494823184361,6.52649307269793,3
"11",-25,2.20367206433547,0.585565719310368,9.28983615433489,4.91431507080321,1.33429367502593,6.56901370688884,4
"12",-21,2.18218913644477,0.586521030140164,9.01508152328774,4.91907744973842,1.33342231593662,6.62554459459668,6
"13",-15,2.15040826448572,0.587957390974795,8.61272424953232,4.92632116336833,1.33211851822522,6.70971627623017,2
"14",-13,2.13993311946775,0.588437099753663,8.48113988008422,4.92876591577946,1.33168485116206,6.73753737207282,5
"15",-8,2.1140048072241,0.589638427827815,8.15765148519692,4.93495204858323,1.33060288316422,6.80640366076275,2
"16",-6,2.10373738028415,0.590119792540674,8.0304508364957,4.93745849073595,1.33017102017515,6.83362733511626,9
"17",3,2.05826925826544,0.592291967300244,7.47398066265787,4.94899171870432,1.32823472808077,6.95323216507162,6
"18",9,2.02862576626142,0.593745704846466,7.11804103797097,4.95693730572607,1.32695084839367,7.02972386956504,2
"19",11,2.0188634226143,0.594231307673746,7.00217766182094,4.95963603529869,1.32652422451648,7.05453388221756,5
"20",16,1.99471729771008,0.595447595033678,6.71884162607315,4.96650001007838,1.32546074543303,7.11486896932639,8
"21",24,1.95685427921966,0.597400572447814,6.28523575608705,4.9778529608076,1.32376887286797,7.20575370837122,11
"22",35,1.90633702769958,0.600100278950263,5.73139570275994,4.99427870224017,1.32146375901448,7.31732253828168,10
"23",45,1.86195649359789,0.602569555435213,5.27284836396941,5.01010449358493,1.31939160254665,7.40289468446048,1
