"","Age","agropastoralism","charcoal","diatoms","MnFe","pollen","Ti","elapsedTime"
"75",2285,2.36182181204019,0.877108748016174,1.25594592355134,4.87490482701801,1.46219366029878,2.33178896760019,73
"76",2358,2.44181570347142,0.87363703859919,1.51251635260809,4.74251130503825,1.4942555469023,2.72407602785738,24
"77",2382,2.46440125900863,0.872254530319096,1.59414289972199,4.74061514028931,1.50523105571471,3.18335677726713,68
"78",2450,2.50106192789997,0.867674993184335,1.76854436877162,4.89718370614582,1.53707871740184,5.06147495149033,38
"79",2488,2.49817438769029,0.864697428562176,1.84182437442964,5.06202063716495,1.55514199820096,5.89554951701196,21
"80",2509,2.48816836968099,0.862931041213433,1.87874070021651,5.1561817916775,1.56514165928165,6.08487443699994,42
"81",2551,2.44899501971624,0.859157174872615,1.94198456663949,5.30152755256508,1.58507168458743,5.82151655962837,35
"82",2586,2.39696603493608,0.855781597354831,1.9744074703317,5.3368354155118,1.60151111702506,5.18030955484546,27
"83",2613,2.34621715120995,0.853043657141873,1.98269745499906,5.29766862704441,1.61403057001839,4.63008626693265,36
"84",2649,2.26815252832623,0.849228123970674,1.97286815866195,5.16754386532704,1.63044200324853,4.00530375489691,38
"85",2687,2.17981934127261,0.845027868213332,1.9437637422672,4.9779549214442,1.64735207065763,3.57192032385011,20
"86",2707,2.13365016522503,0.842760771897724,1.92254318849404,4.8774193906092,1.65606050456405,3.43940190463932,28
"87",2735,2.07178773151158,0.839535743747429,1.88584921506183,4.75522632797717,1.6680119505012,3.35050113504434,17
"88",2752,2.03651455326985,0.837552895600089,1.85910176813517,4.69741709082318,1.67512516877546,3.34317535356744,24
"89",2776,1.99011299255805,0.834723719883869,1.81624802006345,4.64107466136289,1.68497767526524,3.38060381951508,17
"90",2793,1.95967324624267,0.832697989749069,1.78385469100611,4.61942644611896,1.69182026932121,3.43361801472842,27
"91",2820,1.91506179625985,0.829439155000201,1.73400193896184,4.61307783604067,1.7024549577911,3.54886101576009,32
"92",2852,1.86687261377544,0.825502007990443,1.68717120638994,4.63828010404633,1.71469163943168,3.71231007994983,32
"93",2884,1.82187717768889,0.821475714470085,1.66130143045803,4.67853654469546,1.72653585558367,3.88191241947555,47
"94",2931,1.75822553571168,0.815402022062682,1.65598792674583,4.72107293008508,1.7432307817058,4.11383322324025,30
"95",2961,1.71825022511391,0.811432932848031,1.65979018651454,4.72212315259409,1.75345559924905,4.24725486677229,6
"96",2967,1.71032482760361,0.810630823986438,1.66023355714237,4.71975168126388,1.75546080704432,4.27287679202997,30
"97",2997,1.67132670082336,0.806576627471271,1.65977194555711,4.69798711079203,1.76529483920202,4.39801774067491,3
"98",3000,1.66750381656924,0.806167006093048,1.65957175284397,4.6951334228484,1.76626111870899,4.41039269912421,16
"99",3016,1.64743027624729,0.803968542804053,1.65871220747239,4.67876641494288,1.77136434267169,4.47643640959218,20
"100",3036,1.62325492174663,0.801185472768593,1.66049835561347,4.65704815897621,1.7776304699205,4.55976995071514,9
"101",3045,1.61277693975265,0.799919466282156,1.66336490227166,4.64721688957776,1.78041190522574,4.59773395868203,19
"102",3064,1.59161121095338,0.797217382793608,1.67531868059793,4.62652977202541,1.7862114771824,4.67892125916519,19
"103",3083,1.57189404706567,0.794474815893605,1.6963440004157,4.6059347433196,1.79192070054287,4.76154217407837,21
"104",3104,1.55197023143854,0.791397297433822,1.72985382854778,4.58327846262243,1.79813648646394,4.85455844426459,9
"105",3113,1.54406860760782,0.790064264480239,1.74697592772759,4.57360277579003,1.80077258462929,4.89497675010269,27
"106",3140,1.52278466033044,0.78601776308759,1.80437497615414,4.54469810003998,1.80859091380495,5.01826199760291,22
"107",3162,1.50822426719112,0.782671453746709,1.85261060744413,4.52128125862107,1.81487209023146,5.12100889432705,19
"108",3181,1.49773548490079,0.779746805876781,1.89185904781452,4.50115474438532,1.82024260888018,5.21143624214317,13
"109",3194,1.49170293167082,0.777726127168722,1.91681829272445,4.48743561734535,1.82389388944396,5.27422591133711,14
"110",3208,1.48627014662271,0.775530833241647,1.94223994030589,4.47270793237217,1.82781008564475,5.34269186188712,19
