"","negAge","deriv_mean_lower","deriv_sd_lower","deriv_mean_upper","deriv_sd_upper","deriv_mean_med","deriv_sd_med","proxy"
"1",-3227,-0.00156229124760768,0.00410926532260181,0.00439774080022917,0.0135765745959791,0.001748854234138,0.00700633743651414,"diatoms"
"2",-3159.85714285714,-0.00143513053165109,0.00354602835888453,0.00400959311949306,0.0126398865085925,0.00154482915559195,0.00638236778633012,"diatoms"
"3",-3092.71428571429,-0.0016451272472888,0.00255966584470248,0.00273408751942416,0.0102411152692358,0.000765220696344263,0.00492410674761488,"diatoms"
"4",-3025.57142857143,-0.00173839534827528,0.00254289610890148,0.00160192401333949,0.00812494350211651,5.43784052650401e-05,0.00478752001968529,"diatoms"
"5",-2958.42857142857,-0.0017536567534364,0.00261125584358007,0.00100507780475836,0.00742733383643301,-0.000397043393948118,0.00421548827813575,"diatoms"
"6",-2891.28571428571,-0.00187383530568687,0.00241566193440406,0.000861318642076834,0.00676758129708418,-0.000497689010705937,0.0039165432751708,"diatoms"
"7",-2824.14285714286,-0.00168225007969568,0.00185801693062761,0.00100578928105352,0.00660758377513403,-0.000421829609059487,0.00353133166087306,"diatoms"
"8",-2757,-0.00155013849478949,0.00196356577882484,0.00112916514736827,0.00699993926934598,-0.000183925226764365,0.00383050341219525,"diatoms"
"9",-2689.85714285714,-0.00108416377150237,0.00265398407402215,0.00157488067361588,0.00785985062661216,0.000217777924269908,0.00451558485716991,"diatoms"
"10",-2622.71428571429,-0.000718710973691972,0.00245383942814822,0.00206673279294411,0.00703378389644608,0.00052592959942555,0.004233754651833,"diatoms"
"11",-2555.57142857143,-0.000743037315321325,0.00178273629620853,0.00200281534262534,0.00665819791644557,0.000536599442556864,0.00338899931290824,"diatoms"
"12",-2488.42857142857,-0.00108368159941705,0.00248034329881419,0.00140479795178208,0.00620854357621212,0.000218384500849403,0.00420535620504495,"diatoms"
"13",-2421.28571428571,-0.00148763879257833,0.0032251771942183,0.00107638254890752,0.00684780477534472,-6.76127639103791e-06,0.00484271683421679,"diatoms"
"14",-2354.14285714286,-0.00118009614903133,0.00265779711866758,0.0011487858264977,0.00741723688905858,5.53920646766883e-05,0.00444076930477498,"diatoms"
"15",-2287,-0.000392904730942824,0.00261141512772617,0.00161157968143999,0.00784652611928419,0.000638336071388107,0.00474122008110702,"diatoms"
