"","Age","diatPrC","elapsedTime_ti","pollenPrC","agropastPrC","Ti"
"1",-59,2.2234863414626,6,0.346449658073017,0.764648083634862,NA
"2",-53,2.2234863414626,7,0.176628747696414,0.867067033440335,5.10270825
"3",-46,2.2234863414626,258,0.39879077754679,0.8840269718186,4.7049594505
"4",212,0.901548337964262,257,0.106497490982175,0.225453016553838,6.549802962625
"5",469,1.09045136343349,66,0.360971581417737,0.0455453412953278,2.89593552325
"6",535,0.865529129359302,65,0.14811875042268,0,3.671060853375
"7",600,0.935900519836468,70,0.214234990082681,0,4.348735362375
"8",670,1.11622667682752,70,0.343586463955549,0.098000399478821,6.5725092705625
"9",740,1.01371909419013,70,0.262556447883707,0.140928379854806,7.4591401324375
"10",810,1.02834913919518,71,0.197235878959586,0,4.47693244
"11",881,1.08085280524954,64,0.300633566959127,0.0309924035397073,6.592858498
"12",945,1.07963109098964,65,0.18880010386023,0.0213108176281981,2.456875469
"13",1010,1.0259016157529,40,0.178538247067396,0.0762299419416382,1.889269698
"14",1050,0.982054927415323,92,0.330768663650058,0,3.4598890735
"15",1142,0.823342019660322,63,0.231866681060375,0.109774683648548,2.3608414805
"16",1205,0.780763777676763,62,0.235994696003833,0.127890345447896,6.7920451355
"17",1267,0.740013283396486,51,0.5011933754002,0.150167004822989,4.5136543475
"18",1318,0.65246720946735,50,0.25544472847113,0.0157209385526536,4.684092758
"19",1368,0.53873223898478,38,0.186991171068198,0.0360501332260047,2.846720644
"20",1406,0.417690858482509,39,0.242026013058525,0.0490384101742976,2.958353835
"21",1445,0.502656857833825,38,0.398562427639689,0.303429274835093,3.0541921265
"22",1483,0.911570264994126,38,0.221727473829746,0.792499185549119,4.290029236
"23",1521,1.04573866371784,40,0.400603079882683,0.678131762974542,3.135677757
"24",1561,0.789311308058263,40,0.185269694917549,0.211641905007388,3.029207812
"25",1601,0.532883952398687,39,0.380254525368809,0.648678268838258,2.864437907
"26",1640,0.309200472701834,40,0.270286984204825,0.197825584458381,2.148022184
"27",1680,0.316105037754585,39,0,0.804578824282996,3.283245249
"28",1719,0.223186810194654,39,0.396646184180117,0.80285846351358,3.14273803
"29",1758,0.217716712703463,39,0.200091124979495,0.84189521279694,2.376898305
"30",1797,0.184293320684334,39,0.0878042953878617,0.804965470497237,3.161225602
"31",1836,0.144755145487219,39,0.426797039442141,0.850125781219053,3.450522955
"32",1875,0.148347164180327,39,0.125607109451371,0.804578824282996,4.527306025
"33",1914,0.142009760392751,39,0.206048823889833,0.8097681796961,4.941522468
"34",1953,0.112074659077868,39,0.385803132968544,0.726324549838421,3.349351973
"35",1992,0.196399353974304,38,0.254184396941869,0.828105709857391,3.521805464
"36",2030,0.278561877206729,38,0.211178812543097,0.817365646581123,10.46054992
"37",2068,0.3004480077423,38,0.421032148277486,0.896886299447135,11.40892925
"38",2106,0.110938666027892,38,0.287285508073531,0.816397836274793,9.517572425
"39",2144,0.0521645750915533,39,0.289021018198854,0.793884927179212,4.721576569
"40",2183,0.163457229124536,39,0.47312386160099,0.861531649412401,3.396603397
"41",2222,0.0722745948648421,39,0.101264436842982,0.197825584458381,3.425382262
"42",2261,0.182211945599444,38,0.448301394965685,0.95442197466746,3.297243923
"43",2299,0.179121823854098,39,0.131525083721504,0.824178585898991,2.2231599795
"44",2338,0.365951934885208,39,0.453176190164163,0.988117768959444,2.390764304
"45",2377,0.519442319269556,38,0.179433577302663,0.881361959524736,2.223592314
"46",2415,0.612881516117574,39,0.619079751244944,0.982251900299355,2.097331983
"47",2454,0.685168862660171,39,0.522681905795614,0.927854104872731,6.488517346
"48",2493,0.563419240399065,40,0.423354163816752,1.05379796059775,10.25837289
"49",2533,0.599782874839577,38,0.486841930113875,0.984792272782432,2.882391103
"50",2571,0.715360194354982,38,0.511901430155065,1.02834133142893,8.11079232
"51",2609,0.731474397077564,41,0.592181536104772,1.24062097354428,2.5087446955
"52",2650,0.734605528412868,40,0.550986695256588,0.553153640912736,4.62959752
"53",2690,0.638297155185341,37,0.593772574408691,0.906989612492662,3.087580875
"54",2727,0.634136858760321,38,0.550648478344772,0.673499370997288,2.721135453
"55",2765,0.654429529426418,39,0.563633976021606,0.327873180407956,2.999430445
"56",2804,0.610767559403914,38,0.557234436112059,0.305726481269829,3.608340877
"57",2842,0.362238113144045,39,0.476901672974647,0.685311185964763,2.9961553895
"58",2881,0.536720714286074,38,0.619046001887559,0.843375080341819,3.982611692
"59",2919,0.56440232038488,40,0.688511659298448,0.707902457984904,2.974865219
"60",2959,0.59086965159672,40,0.484197905410575,0.651507072421921,4.323892664
"61",2999,0.631839093072796,47,0.594905366496952,0.489499675200608,3.735887531
"62",3046,0.538759914118129,31,0.582012903273944,0.407411200364793,NA
"63",3077,0.492458996960319,38,0.639000438996956,0.465636700731769,NA
"64",3115,0.611042558318285,39,0.683513625783578,0.438603809038955,NA
"65",3154,0.636989152364897,38,0.572317015030415,0.443223251696347,NA
"66",3192,0.652644906511406,38,0.661541504556819,0.37667888985653,NA
"67",3230,NA,38,0.620290441469799,0.119546012566766,NA
"68",3268,NA,38,0.531947327041047,0.367823054138482,NA
"69",3306,NA,39,0.525579560651992,0.506783723801211,NA
"70",3345,NA,39,0.582158948454708,0.37161609187929,NA
"71",3384,NA,38,0.577020437954452,0.333075315326122,NA
"72",3422,NA,38,0.526310975364196,0.591530226520432,NA
