"","Acalypha","Achnanthidium.minutissimum","Allantodia","Alnus","Aspleniaceae","Asteraceae.1","Asteraceae..lig.","Aulacoseira.alpigena","Aulacoseira.cf.distans","Brachysira.microcephala.neoxilis","Cecropia","Clethra","Cocconeis.placentula.var.placentula","Cyathea","Cyclosorus","Cymbella.cymbiformis.cystula","Cyperaceae","Denticula.kuetzingii","Diatoma.tenuis","Discostella.stelligera","Encyonopsis.sp.1.LLAVIUCU","Encyonopsis.subminuta","Ephitemia.adnata","Fragilaria.capuccina.agg","Fragilaria.cf.capucina","Fragilaria.tenera","Gomphonema.cf.geisslerae","Gomphonema.sp.1.LLAVIUCU.cf.netriviale","Gomphonema.sp.2.LLAVIUCU.cf.variostriatum","Hannaea.arcus","Hedyosmum","Isoetes","Lamiaceae","Melast.Combret","Meliaceae.Bruniaceae","Monolete.psilate","Morac.Urtica","Myrica.Morella","Myrsine","Navicula.radiosa","Nupela.sp.1.LLAVIUCU","Ophioglossum","Orthoseria.roseana","Poaceae","Podocarpus","Polylepis","Polypodium","Selaginella","Sellaphora.pupula","Sporormiella","Staurosira.construens.var.venter","Symplocos","Tabellaria.flocculosa.str.IV","Thalictrum","Ulnaria.cf.ulna.var.amphyrhynchus","Vallea","Weinmannia","Zea.mays"
"40",5.78778135048232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78778135048232,0,5.14469453376206,0,8.68167202572347,3.53697749196141,0,0,0,0,0,0,45.9807073954984,0,2.89389067524116,0,0,0,0,0,0,0,2.2508038585209,0,0,0,0
"41",0,0,0,44.1176470588235,0,17.6470588235294,0,0,0,0,0,0,0,0,0,0,7.84313725490196,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7254901960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0,0,0,0,0,0
"42",0,19.8125836680054,0,0,0,0,0,0,0,8.83534136546185,0,0,0,0,0,9.10307898259705,0,7.36278447121821,0,0,8.03212851405623,3.21285140562249,0,0,6.02409638554217,2.14190093708166,0,4.68540829986613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67737617135207,0,0,0
"43",3.74149659863946,0,0,0,0,0,0,0,0,0,0,0,0,2.04081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42176870748299,0,3.40136054421769,0,13.265306122449,4.08163265306122,0,0,0,0,0,0,43.8775510204082,0,2.38095238095238,0,0,0,0,0,3.06122448979592,0,0,0,0,0,0
"44",0,0,0,49.6489361702127,0,9.3191489361702,0,0,0,0,0,0,0,0,0,0,11.3829787234042,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5106382978723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0744680851064,0,0,0,0,0,0,0,0
"45",2.72998805256869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47072879330944,0,4.94026284348865,0,6.00358422939068,6.02150537634409,0,0,0,0,0,0,46.5232974910395,0,0,2.19832735961768,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,55.6962025316456,0,11.3924050632911,0,0,0,0,3.79746835443038,0,0,0,0,0,12.6582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32911392405063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.126582278481,0,0,0,0,0,0,0,0
"47",0,6.34146341463415,0,0,0,0,0,0,0,11.7073170731707,0,0,3.41463414634146,0,0,13.3333333333333,0,10.7317073170732,0,0,2.76422764227642,0,0,0,0,0,0,3.90243902439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31707317073171,0,0,0,3.73983739837398,0,0,0
"48",2.7027027027027,0,2.02702702702703,0,0,0,0,0,0,0,0,2.36486486486486,0,0,2.7027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37837837837838,2.36486486486486,3.71621621621622,0,9.45945945945946,6.08108108108108,0,0,0,0,0,0,37.1621621621622,0,2.36486486486486,0,0,0,0,0,4.39189189189189,0,0,0,0,0,0
"49",0,0,0,56.8965517241379,0,12.9310344827586,0,0,0,0,3.44827586206897,0,0,0,0,0,6.03448275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2068965517241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48275862068965,0,0,0,0,0,0,0,0
"50",0,18.6170212765957,0,0,0,0,0,0,0,6.64893617021277,0,0,0,0,0,4.12234042553191,0,5.98404255319149,0,0,6.64893617021277,4.25531914893617,0,0,2.65957446808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97340425531915,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05851063829787,0,0,0
"51",2.91666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41666666666667,0,4.16666666666667,0,5.83333333333333,5.83333333333333,2.08333333333333,0,0,0,0,0,43.75,2.5,0,0,0,0,0,0,2.91666666666667,0,0,0,0,0,0
"52",0,0,0,45.1127819548872,0,12.8634085213032,0,0,0,0,0,0,0,0,0,0,10.9398496240602,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7067669172933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66040100250626,0,0,0,0,0,0,0,0
"53",2.81348226313427,0,0,0,0,0,0,0,0,0,0,2.07117198024248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89969690166143,0,6.90671306690616,4.30511899416255,0,0,0,0,0,0,42.0184104176022,2.06415581499776,2.6296587337225,0,0,0,0,0,0,0,0,0,0,2.05713964975304,0
"54",0,0,0,41.9753086419753,0,14.8148148148148,0,0,0,0,2.46913580246914,0,0,0,0,0,9.87654320987654,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6913580246914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93827160493827,0,0,0,0,0,0,0,0
"55",0,22.0360824742268,0,0,0,0,0,0,0,6.57216494845361,0,0,0,0,0,7.08762886597938,0,0,2.44845360824742,3.73711340206186,6.18556701030928,3.22164948453608,0,0,5.92783505154639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37628865979381,0,0,0,0,0,0,0,0,0,0,0,7.86082474226804,0,2.57731958762887,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,3.07167235494881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43686006825939,2.04778156996587,8.19112627986348,5.46075085324232,2.73037542662116,0,0,0,0,0,32.4232081911263,3.07167235494881,2.38907849829352,2.04778156996587,0,0,0,0,0,0,2.04778156996587,0,0,0,0
